Training started at: 2025-05-24 21:44:22
Device: cuda, Num Epochs: 200, Model: UNet
Batch Size: 8, Learning Rate: 0.0006
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Patch Size: 128
Epoch, AvgTrainLoss, 
1, 0.534989, 
2, 0.413481, 
3, 0.393066, 
4, 0.380199, 
5, 0.381248, 
6, 0.371475, 
7, 0.372213, 
8, 0.368156, 
9, 0.357477, 
10, 0.359069, 
11, 0.352678, 
12, 0.352500, 
13, 0.345078, 
14, 0.342361, 
15, 0.338842, 
16, 0.337188, 
17, 0.344109, 
18, 0.336331, 
19, 0.333880, 
20, 0.338627, 
21, 0.334261, 
22, 0.333932, 
23, 0.330055, 
24, 0.334403, 
25, 0.329570, 
26, 0.324296, 
27, 0.325038, 
28, 0.322945, 
29, 0.324482, 
30, 0.322047, 
31, 0.317823, 
32, 0.326034, 
33, 0.323096, 
34, 0.314492, 
35, 0.309786, 
36, 0.312387, 
37, 0.315706, 
38, 0.312518, 
39, 0.310156, 
40, 0.309408, 
41, 0.305026, 
42, 0.302038, 
43, 0.307049, 
44, 0.301450, 
45, 0.302494, 
46, 0.310552, 
47, 0.300427, 
48, 0.296001, 
49, 0.304902, 
50, 0.302787, 
