Training started at: 2025-05-25 22:28:48
Device: cuda, Num Epochs: 100, Model: UNet
Batch Size: 8, Learning Rate: 0.0008
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Patch Size: 128
Epoch, AvgTrainLoss, 
1, 0.521716, 
2, 0.420731, 
3, 0.404806, 
4, 0.391722, 
5, 0.384868, 
6, 0.375210, 
7, 0.369406, 
8, 0.366390, 
9, 0.361105, 
10, 0.358140, 
11, 0.362901, 
12, 0.355180, 
13, 0.344875, 
14, 0.340359, 
15, 0.342731, 
16, 0.332262, 
17, 0.330290, 
18, 0.329724, 
19, 0.329653, 
20, 0.325810, 
21, 0.321727, 
22, 0.313817, 
23, 0.308894, 
24, 0.319966, 
25, 0.313130, 
26, 0.302824, 
27, 0.307234, 
28, 0.304936, 
29, 0.299396, 
30, 0.291312, 
31, 0.289158, 
32, 0.293634, 
33, 0.287762, 
34, 0.294833, 
35, 0.286035, 
36, 0.277577, 
37, 0.275005, 
38, 0.278003, 
39, 0.275460, 
40, 0.271606, 
41, 0.269012, 
42, 0.265843, 
43, 0.279754, 
44, 0.269445, 
45, 0.268488, 
46, 0.261819, 
47, 0.257449, 
48, 0.263197, 
49, 0.255302, 
50, 0.255115, 
51, 0.260912, 
52, 0.272317, 
53, 0.263450, 
54, 0.246750, 
55, 0.252257, 
56, 0.253036, 
57, 0.250574, 
58, 0.243934, 
59, 0.239035, 
60, 0.245510, 
61, 0.241256, 
62, 0.244516, 
63, 0.240633, 
64, 0.239823, 
65, 0.251749, 
66, 0.244415, 
67, 0.238638, 
68, 0.238298, 
69, 0.241093, 
70, 0.230488, 
71, 0.231739, 
72, 0.235231, 
73, 0.226829, 
74, 0.222560, 
75, 0.222975, 
76, 0.218938, 
77, 0.227195, 
78, 0.231329, 
79, 0.228825, 
80, 0.255430, 
81, 0.228912, 
82, 0.228823, 
83, 0.213317, 
84, 0.216390, 
85, 0.219109, 
86, 0.215055, 
87, 0.215184, 
88, 0.214757, 
89, 0.222872, 
90, 0.215865, 
91, 0.219626, 
92, 0.209439, 
93, 0.215268, 
94, 0.224511, 
95, 0.213116, 
96, 0.206986, 
97, 0.209018, 
98, 0.211755, 
99, 0.206173, 
100, 0.204064, 
Training finished at: 2025-05-26 02:50:39
