Training started at: 2025-05-22 08:26:54
Device: cuda, Num Epochs: 100, Model: UNet
Batch Size: 8, Learning Rate: 0.0008
Loss Function: TverskyLoss, Optimizer: Adam
Epoch, AvgTrainLoss, 
1, 0.501921, 
2, 0.404818, 
3, 0.392473, 
4, 0.380999, 
5, 0.370340, 
6, 0.374606, 
7, 0.355375, 
8, 0.352421, 
9, 0.357518, 
10, 0.345142, 
11, 0.343376, 
12, 0.335404, 
13, 0.332397, 
14, 0.328470, 
15, 0.325980, 
16, 0.325652, 
17, 0.319164, 
18, 0.318454, 
19, 0.314661, 
20, 0.317184, 
21, 0.315961, 
22, 0.304710, 
23, 0.311738, 
24, 0.300739, 
25, 0.303198, 
26, 0.301837, 
27, 0.302078, 
28, 0.292754, 
29, 0.295866, 
30, 0.299721, 
31, 0.287211, 
32, 0.282713, 
33, 0.285955, 
34, 0.282995, 
35, 0.281674, 
36, 0.278672, 
37, 0.275624, 
38, 0.269591, 
39, 0.270557, 
40, 0.267155, 
41, 0.267454, 
42, 0.266240, 
43, 0.268687, 
44, 0.273072, 
45, 0.267571, 
46, 0.260572, 
47, 0.257391, 
48, 0.257614, 
49, 0.254878, 
50, 0.255997, 
51, 0.264008, 
52, 0.257636, 
53, 0.255147, 
54, 0.250936, 
55, 0.250565, 
56, 0.252410, 
57, 0.247669, 
58, 0.247571, 
59, 0.255177, 
60, 0.239556, 
61, 0.239547, 
62, 0.245044, 
63, 0.244731, 
64, 0.244131, 
65, 0.238721, 
66, 0.245245, 
67, 0.243727, 
68, 0.246119, 
69, 0.238957, 
70, 0.240410, 
71, 0.236075, 
72, 0.245530, 
73, 0.234648, 
74, 0.234858, 
75, 0.225875, 
76, 0.229527, 
77, 0.233013, 
78, 0.233388, 
79, 0.226179, 
80, 0.223108, 
81, 0.228142, 
82, 0.232195, 
83, 0.222264, 
84, 0.220454, 
85, 0.225871, 
86, 0.230984, 
87, 0.230448, 
88, 0.229487, 
89, 0.232997, 
90, 0.233106, 
91, 0.220831, 
92, 0.221428, 
93, 0.222535, 
94, 0.229729, 
95, 0.218665, 
96, 0.223094, 
97, 0.223811, 
98, 0.214851, 
99, 0.217709, 
100, 0.210358, 
Training finished at: 2025-05-22 17:10:22
