Training started at: 2025-05-26 11:23:54
Device: cuda, Num Epochs: 100, Model: UNet
Batch Size: 8, Learning Rate: 0.0008
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Patch Size: 128
Epoch, AvgTrainLoss, 
1, 0.520122, 
2, 0.415590, 
3, 0.398608, 
4, 0.387026, 
5, 0.379730, 
6, 0.366410, 
7, 0.363588, 
8, 0.356702, 
9, 0.356375, 
10, 0.347774, 
11, 0.350256, 
12, 0.331311, 
13, 0.335702, 
14, 0.330580, 
15, 0.335528, 
16, 0.326828, 
17, 0.318074, 
18, 0.320739, 
19, 0.317821, 
20, 0.314616, 
21, 0.311380, 
22, 0.306019, 
23, 0.310160, 
24, 0.303211, 
25, 0.306232, 
26, 0.302445, 
27, 0.297727, 
28, 0.295178, 
29, 0.288666, 
30, 0.293904, 
31, 0.284382, 
32, 0.290753, 
33, 0.283858, 
34, 0.282845, 
35, 0.284618, 
36, 0.275442, 
37, 0.272442, 
38, 0.264008, 
39, 0.271921, 
40, 0.276134, 
41, 0.270631, 
42, 0.268666, 
43, 0.262476, 
44, 0.254589, 
45, 0.258623, 
46, 0.264268, 
47, 0.263809, 
48, 0.267948, 
49, 0.257488, 
50, 0.260428, 
51, 0.254053, 
52, 0.260446, 
53, 0.255054, 
54, 0.246861, 
55, 0.246526, 
56, 0.247257, 
57, 0.257381, 
58, 0.248234, 
59, 0.247967, 
60, 0.240438, 
61, 0.246090, 
62, 0.239996, 
63, 0.229703, 
64, 0.243221, 
65, 0.240461, 
66, 0.239732, 
67, 0.238874, 
68, 0.233483, 
69, 0.240620, 
70, 0.236345, 
71, 0.235266, 
72, 0.241238, 
73, 0.235018, 
74, 0.237508, 
75, 0.227326, 
76, 0.229791, 
77, 0.225023, 
78, 0.228200, 
79, 0.243725, 
80, 0.242323, 
81, 0.228798, 
82, 0.225623, 
83, 0.218533, 
84, 0.221607, 
85, 0.220514, 
86, 0.209833, 
87, 0.219966, 
88, 0.221093, 
89, 0.224747, 
90, 0.223894, 
91, 0.229278, 
92, 0.225975, 
93, 0.224172, 
94, 0.209875, 
95, 0.217254, 
96, 0.212341, 
97, 0.212800, 
98, 0.208886, 
99, 0.213563, 
100, 0.225026, 
Training finished at: 2025-05-26 15:44:38
