Training started at: 2025-05-25 12:36:52
Device: cuda, Num Epochs: 100, Model: UNet
Batch Size: 8, Learning Rate: 0.001
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Patch Size: 128
Epoch, AvgTrainLoss, 
1, 0.482684, 
2, 0.408991, 
3, 0.396574, 
4, 0.387070, 
5, 0.377187, 
6, 0.369332, 
7, 0.366282, 
8, 0.361075, 
9, 0.361161, 
10, 0.353173, 
11, 0.346946, 
12, 0.343789, 
13, 0.337863, 
14, 0.344609, 
15, 0.342134, 
16, 0.335988, 
17, 0.338034, 
18, 0.332270, 
19, 0.330501, 
20, 0.327381, 
21, 0.326027, 
22, 0.323195, 
23, 0.320240, 
24, 0.320747, 
25, 0.314253, 
26, 0.313731, 
27, 0.315315, 
28, 0.313784, 
29, 0.308514, 
30, 0.306108, 
31, 0.304727, 
32, 0.308149, 
33, 0.311753, 
34, 0.305726, 
35, 0.307516, 
36, 0.303968, 
37, 0.297252, 
38, 0.295142, 
39, 0.296592, 
40, 0.297391, 
41, 0.297446, 
42, 0.289447, 
43, 0.295249, 
44, 0.291872, 
45, 0.294534, 
46, 0.283608, 
47, 0.287486, 
48, 0.286460, 
49, 0.288339, 
50, 0.283127, 
51, 0.284069, 
52, 0.279802, 
53, 0.276483, 
54, 0.278608, 
55, 0.275287, 
56, 0.277489, 
57, 0.275130, 
58, 0.271655, 
59, 0.267528, 
60, 0.269596, 
61, 0.274705, 
62, 0.270702, 
63, 0.266509, 
64, 0.262148, 
65, 0.267713, 
66, 0.263808, 
67, 0.257413, 
68, 0.262851, 
69, 0.260448, 
70, 0.262216, 
71, 0.261385, 
72, 0.253897, 
73, 0.254973, 
74, 0.255637, 
75, 0.253057, 
76, 0.254846, 
77, 0.254148, 
78, 0.257265, 
79, 0.253517, 
80, 0.250953, 
81, 0.251547, 
82, 0.245643, 
83, 0.253614, 
84, 0.248980, 
85, 0.248315, 
86, 0.247626, 
87, 0.250482, 
88, 0.246079, 
89, 0.245576, 
90, 0.250512, 
91, 0.243954, 
92, 0.244546, 
93, 0.246271, 
94, 0.246606, 
95, 0.237628, 
96, 0.239990, 
97, 0.242477, 
98, 0.235936, 
99, 0.243879, 
100, 0.241482, 
Training finished at: 2025-05-25 18:55:27
