Training started at: 2025-05-25 19:57:01
Device: cuda, Num Epochs: 100, Model: UNet
Batch Size: 128, Learning Rate: 0.001
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Patch Size: 128
Epoch, AvgTrainLoss, 
1, 0.510823, 
2, 0.392555, 
3, 0.375582, 
4, 0.369376, 
5, 0.359891, 
6, 0.352524, 
7, 0.347852, 
8, 0.353549, 
9, 0.335333, 
10, 0.330741, 
11, 0.324359, 
12, 0.323417, 
13, 0.320938, 
14, 0.319777, 
15, 0.317219, 
16, 0.319207, 
17, 0.314212, 
18, 0.315541, 
19, 0.308579, 
20, 0.308749, 
21, 0.308280, 
22, 0.303139, 
23, 0.298963, 
24, 0.296784, 
25, 0.290099, 
