Training started at: 2025-05-24 10:51:25
Device: cuda, Num Epochs: 200, Model: UNet
Batch Size: 8, Learning Rate: 0.0005
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Epoch, AvgTrainLoss, 
1, 0.519093, 
2, 0.404124, 
3, 0.377627, 
4, 0.371498, 
5, 0.360964, 
6, 0.353372, 
7, 0.346492, 
8, 0.339580, 
9, 0.334778, 
10, 0.337957, 
11, 0.333142, 
12, 0.321335, 
13, 0.322815, 
14, 0.315918, 
15, 0.311802, 
16, 0.304474, 
17, 0.302867, 
18, 0.304516, 
19, 0.303895, 
20, 0.299807, 
21, 0.297064, 
22, 0.288540, 
23, 0.287192, 
24, 0.286255, 
25, 0.287285, 
26, 0.283940, 
27, 0.273386, 
28, 0.281180, 
29, 0.274912, 
30, 0.272404, 
31, 0.270228, 
32, 0.268787, 
33, 0.264848, 
34, 0.266852, 
35, 0.269581, 
36, 0.262247, 
37, 0.261804, 
38, 0.255487, 
39, 0.257264, 
40, 0.254566, 
41, 0.252739, 
42, 0.250634, 
43, 0.247327, 
44, 0.251214, 
45, 0.251228, 
46, 0.245980, 
47, 0.252181, 
48, 0.251720, 
49, 0.247266, 
50, 0.238249, 
51, 0.237100, 
52, 0.240920, 
53, 0.249125, 
54, 0.236383, 
55, 0.236122, 
56, 0.231729, 
57, 0.233243, 
58, 0.233918, 
59, 0.243454, 
60, 0.238999, 
61, 0.233097, 
62, 0.230204, 
63, 0.231579, 
64, 0.236316, 
65, 0.230772, 
66, 0.222437, 
67, 0.228208, 
68, 0.225614, 
69, 0.236054, 
70, 0.227725, 
71, 0.218248, 
